area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources ,accommodation,course_curriculum,teaching_quality,student_satisfaction
Student support services,Neutral,Average,Below Average,Average,Average,No,3,2,No,Moderately Available,Below Average,Good,Moderately satisfied,Good,Good,4
Student support services,Neutral,Good,Average,Good,Average,No,2,5,No,Moderately Available,Poor,Good,Slightly satisfied,Excellent,Excellent,5
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,1
Academics,Likely,Good,Good,Good,Good,Yes,5,4,No,Moderately Available,Good,Good,Very satisfied,Good,Excellent,2
Campus facilities,Likely,Good,Excellent,Good,Good,No,2,1,No,Very Available,Average,Good,Very satisfied,Excellent,Good,4
Campus facilities,Likely,Average,Average,Good,Good,Yes,3,3,No,Moderately Available,Good,Average,Slightly satisfied,Average,Good,3
Student support services,Likely,Good,Good,Good,Good,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Other,Likely,Good,Good,Excellent,Good,Yes,4,4,Yes,Very Available,Good,Excellent,Moderately satisfied,Good,Good,4
Communication and information,Neutral,Good,Good,Good,Good,Yes,3,3,Yes,Very Available,Excellent,Good,Very satisfied,Good,Good,3
Campus facilities,Likely,Average,Average,Below Average,Good,Yes,4,4,No,Moderately Available,Below Average,Average,Moderately satisfied,Good,Good,4
Campus facilities,Likely,Good,Good,Average,Average,Yes,2,2,No,Moderately Available,Good,Good,Very satisfied,Excellent,Excellent,2
Student support services,Likely,Good,Good,Good,Average,Yes,4,3,Yes,Moderately Available,Below Average,Good,Moderately satisfied,Average,Average,3
Campus facilities,Neutral,Average,Below Average,Average,Below Average,Yes,3,3,No,Slightly Available,Below Average,Below Average,Moderately satisfied,Good,Good,3
Student support services,Likely,Average,Average,Average,Good,Yes,3,1,Yes,Moderately Available,Good,Average,Very satisfied,Good,Average,2
Other,Unlikely,Average,Average,Good,Poor,Yes,3,3,No,Slightly Available,Average,Below Average,Not satisfied,Poor,Average,4
Academics,Very likely,Excellent,Good,Good,Excellent,No,5,3,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Neutral,Below Average,Below Average,Below Average,Poor,Yes,2,3,No,Not Available,Good,Below Average,Moderately satisfied,Good,Average,2
Campus facilities,Likely,Average,Below Average,Average,Average,Yes,2,3,No,Moderately Available,Poor,Average,Moderately satisfied,Good,Good,3
Campus facilities,Very likely,Excellent,Good,Excellent,Average,Yes,5,5,No,Slightly Available,Excellent,Average,Extremely satisfied,Excellent,Good,5
Campus facilities,Very unlikely,Poor,Poor,Poor,Poor,No,1,1,Yes,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
Other,Very likely,Excellent,Excellent,Good,Good,Yes,1,1,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Good,Excellent,1
Other,Very likely,Excellent,Good,Good,Excellent,Yes,1,1,Yes,Moderately Available,Good,Excellent,Extremely satisfied,Good,Excellent,1
Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Other,Neutral,Average,Below Average,Good,Average,Yes,4,3,No,Not Available,Below Average,Average,Slightly satisfied,Good,Good,4
Communication and information,Neutral,Average,Excellent,Excellent,Good,Yes,5,3,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,4
Student support services,Very unlikely,Poor,Poor,Below Average,Poor,Yes,3,1,No,Not Available,Poor,Poor,Not satisfied,Average,Below Average,1
Other,Neutral,Average,Average,Poor,Average,No,5,5,Yes,Slightly Available,Below Average,Poor,Very satisfied,Excellent,Good,2
Campus facilities,Neutral,Poor,Average,Poor,Poor,No,3,5,No,Not Available,Poor,Below Average,Slightly satisfied,Below Average,Average,1
Other,Likely,Average,Below Average,Average,Average,No,3,3,No,Moderately Available,Good,Average,Slightly satisfied,Good,Good,3
Academics,Neutral,Excellent,Excellent,Excellent,Good,Yes,5,2,Yes,Very Available,Good,Excellent,Very satisfied,Good,Good,2
Campus facilities,Likely,Good,Average,Average,Excellent,Yes,2,1,No,Very Available,Good,Good,Very satisfied,Good,Good,2
Communication and information,Neutral,Poor,Average,Poor,Below Average,Yes,3,3,No,Slightly Available,Poor,Average,Slightly satisfied,Average,Average,4
Campus facilities,Unlikely,Below Average,Average,Below Average,Poor,No,3,4,No,Slightly Available,Poor,Good,Moderately satisfied,Poor,Good,4
Academics,Likely,Excellent,Excellent,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Good,4
Campus facilities,Unlikely,Below Average,Poor,Poor,Good,No,1,2,No,Not Available,Poor,Poor,Slightly satisfied,Poor,Below Average,1
Campus facilities,Unlikely,Poor,Poor,Poor,Poor,No,1,1,No,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
Academics,Likely,Good,Average,Average,Below Average,Yes,2,3,Yes,Very Available,Poor,Excellent,Very satisfied,Good,Good,3
Student support services,Very likely,Excellent,Good,Excellent,Good,Yes,1,3,Yes,Not Available,Good,Good,Very satisfied,Good,Excellent,5
Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Campus facilities,Likely,Average,Below Average,Average,Poor,Yes,2,3,No,Moderately Available,Average,Average,Slightly satisfied,Average,Good,3
Academics,Likely,Excellent,Good,Good,Good,Yes,5,4,No,Moderately Available,Average,Good,Moderately satisfied,Good,Good,5
Other,Likely,Excellent,Excellent,Excellent,Average,Yes,3,1,Yes,Very Available,Good,Good,Very satisfied,Good,Good,2
Other,Likely,Excellent,Excellent,Excellent,Average,Yes,3,1,Yes,Very Available,Good,Good,Very satisfied,Good,Good,2
Other,Likely,Good,Good,Good,Good,Yes,2,2,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
Campus facilities,Likely,Good,Good,Good,Good,Yes,3,3,Yes,Very Available,Good,Good,Moderately satisfied,Good,Good,3
Campus facilities,Neutral,Average,Good,Average,Good,Yes,4,4,Yes,Moderately Available,Average,Good,Extremely satisfied,Good,Good,4
Communication and information,Likely,Average,Good,Good,Good,Yes,4,5,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
Communication and information,Neutral,Average,Average,Below Average,Poor,Yes,3,3,No,Not Available,Poor,Poor,Slightly satisfied,Below Average,Average,3
Communication and information,Very likely,Good,Good,Excellent,Good,Yes,5,3,Yes,Very Available,Good,Good,Very satisfied,Good,Excellent,4
Campus facilities,Neutral,Average,Below Average,Average,Below Average,Yes,3,2,No,Very Available,Below Average,Average,Moderately satisfied,Good,Average,3
Campus facilities,Very unlikely,Poor,Average,Average,Average,No,2,2,No,Not Available,Poor,Average,Not satisfied,Average,Average,1
Academics,Likely,Good,Excellent,Good,Average,No,1,1,Yes,Very Available,Good,Excellent,Very satisfied,Good,Good,1
Student support services,Likely,Poor,Good,Average,Good,Yes,3,3,Yes,Slightly Available,Good,Average,Slightly satisfied,Good,Good,3
Academics,Likely,Good,Average,Good,Good,Yes,4,3,Yes,Very Available,Excellent,Average,Moderately satisfied,Good,Excellent,5
Campus facilities,Neutral,Poor,Below Average,Poor,Below Average,No,1,1,No,Not Available,Poor,Poor,Not satisfied,Below Average,Below Average,1
Communication and information,Neutral,Below Average,Average,Good,Poor,No,1,5,Yes,Not Available,Good,Average,Slightly satisfied,Poor,Below Average,1
Student support services,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,1
Academics,Very likely,Below Average,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Good,Extremely satisfied,Excellent,Excellent,1
Student support services,Very likely,Good,Poor,Good,Below Average,Yes,5,3,Yes,Not Available,Good,Good,Very satisfied,Poor,Good,5
Other,Likely,Good,Good,Good,Good,Yes,4,4,No,Moderately Available,Good,Good,Very satisfied,Excellent,Good,4
Academics,Very likely,Good,Excellent,Good,Excellent,Yes,1,1,Yes,Very Available,Good,Good,Very satisfied,Excellent,Excellent,1
Academics,Likely,Average,Average,Good,Good,Yes,3,2,Yes,Slightly Available,Good,Good,Very satisfied,Below Average,Average,3
Student support services,Likely,Average,Poor,Excellent,Excellent,No,3,3,Yes,Moderately Available,Below Average,Poor,Very satisfied,Below Average,Good,4
Other,Neutral,Average,Good,Good,Good,No,3,3,Yes,Moderately Available,Average,Good,Very satisfied,Good,Good,4
Campus facilities,Very likely,Good,Good,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Very satisfied,Excellent,Excellent,5
Campus facilities,Likely,Average,Average,Average,Below Average,Yes,3,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
Communication and information,Very likely,Average,Good,Poor,Excellent,Yes,5,5,Yes,Moderately Available,Average,Average,Very satisfied,Excellent,Good,3
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,1
Academics,Unlikely,Good,Poor,Below Average,Good,Yes,3,3,No,Moderately Available,Poor,Average,Moderately satisfied,Average,Average,1
Academics,Very likely,Good,Good,Good,Excellent,Yes,2,1,Yes,Very Available,Good,Good,Very satisfied,Good,Excellent,5
Student support services,Very likely,Excellent,Good,Excellent,Excellent,Yes,2,3,Yes,Moderately Available,Excellent,Excellent,Slightly satisfied,Excellent,Good,3
Student support services,Likely,Good,Poor,Poor,Good,Yes,3,4,Yes,Slightly Available,Good,Poor,Very satisfied,Good,Good,3
Academics,Very likely,Good,Good,Good,Excellent,Yes,2,2,Yes,Very Available,Excellent,Average,Extremely satisfied,Good,Excellent,5
Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Good,Excellent,5
Campus facilities,Very unlikely,Poor,Poor,Poor,Poor,No,3,2,No,Slightly Available,Poor,Poor,Slightly satisfied,Below Average,Average,1
Communication and information,Likely,Good,Average,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Excellent,5
Academics,Likely,Average,Good,Excellent,Good,Yes,2,2,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,3
Campus facilities,Very unlikely,Below Average,Poor,Below Average,Below Average,No,2,3,No,Not Available,Poor,Average,Not satisfied,Average,Average,1
Student support services,Likely,Poor,Poor,Good,Good,No,2,2,Yes,Slightly Available,Poor,Good,Slightly satisfied,Good,Good,3
Campus facilities,Neutral,Average,Average,Poor,Below Average,No,3,2,No,Slightly Available,Below Average,Good,Moderately satisfied,Good,Good,3
Campus facilities,Likely,Good,Good,Good,Good,Yes,4,4,Yes,Very Available,Excellent,Good,Very satisfied,Good,Excellent,5
Other,Likely,Good,Average,Average,Good,No,4,5,No,Very Available,Average,Good,Moderately satisfied,Good,Excellent,2
Academics,Likely,Average,Poor,Below Average,Poor,No,1,1,Yes,Not Available,Good,Poor,Moderately satisfied,Poor,Poor,1
Student support services,Likely,Good,Excellent,Average,Good,No,5,5,No,Very Available,Average,Good,Slightly satisfied,Excellent,Excellent,1
Student support services,Likely,Excellent,Excellent,Average,Excellent,No,4,5,No,Very Available,Excellent,Good,Slightly satisfied,Excellent,Excellent,1
Campus facilities,Neutral,Below Average,Average,Average,Average,Yes,4,4,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,3
Student support services,Neutral,Poor,Average,Poor,Good,No,2,3,Yes,Moderately Available,Excellent,Poor,Not satisfied,Good,Good,3
Campus facilities,Neutral,Below Average,Good,Below Average,Below Average,No,4,3,No,Slightly Available,Below Average,Average,Moderately satisfied,Average,Average,3
Academics,Likely,Good,Average,Good,Average,No,4,3,No,Slightly Available,Good,Good,Slightly satisfied,Excellent,Excellent,5
Academics,Likely,Average,Good,Good,Poor,Yes,4,2,Yes,Slightly Available,Average,Good,Moderately satisfied,Good,Good,3
Student support services,Very unlikely,Excellent,Excellent,Good,Excellent,Yes,5,1,Yes,Very Available,Poor,Average,Very satisfied,Excellent,Excellent,5
Campus facilities,Neutral,Average,Average,Poor,Excellent,No,2,3,No,Slightly Available,Poor,Below Average,Not satisfied,Good,Below Average,4
Campus facilities,Unlikely,Below Average,Below Average,Excellent,Excellent,Yes,3,3,No,Not Available,Poor,Poor,Very satisfied,Average,Good,1
