,area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources,accommodation,course_curriculum,teaching_quality,student_satisfaction
7/13/2023 19:59:47,Student support services,Very likely,Good,Good,Excellent,Good,Yes,2,5,Yes,Moderately Available,Average,Good,Not satisfied,Average,Good,2
7/13/2023 19:59:54,Student support services,Very likely,Below Average,Below Average,Poor,Poor,No,4,2,No,Not Available,Poor,Good,Not satisfied,Good,Average,3
7/13/2023 20:00:28,Campus facilities,Likely,Average,Poor,Average,Poor,Yes,1,3,No,Moderately Available,Average,Good,Moderately satisfied,Average,Good,3
7/13/2023 20:00:31,Communication and information,Likely,Good,Good,Good,Excellent,Yes,1,1,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
7/13/2023 20:00:57,Student support services,Likely,Average,Below Average,Excellent,Average,Yes,3,2,No,Slightly Available,Excellent,Good,Not satisfied,Excellent,Good,1
7/13/2023 20:00:58,Student support services,Likely,Average,Average,Good,Average,No,3,3,No,Very Available,Average,Average,Moderately satisfied,Good,Good,3
7/13/2023 20:01:02,Student support services,Likely,Average,Average,Good,Average,Yes,3,4,Yes,Moderately Available,Average,Good,Very satisfied,Average,Good,3
7/13/2023 20:01:32,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 20:01:40,Student support services,Likely,Good,Good,Good,Good,Yes,5,4,Yes,Slightly Available,Good,Good,Slightly satisfied,Good,Good,3
7/13/2023 20:01:50,Student support services,Likely,Poor,Poor,Poor,Poor,No,1,1,No,Not Available,Excellent,Poor,Not satisfied,Below Average,Poor,3
7/13/2023 20:02:01,Student support services,Likely,Average,Poor,Average,Poor,Yes,2,2,No,Moderately Available,Poor,Average,Moderately satisfied,Good,Excellent,2
7/13/2023 20:03:03,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,1
7/13/2023 20:03:42,Campus facilities,Likely,Good,Good,Average,Good,No,4,3,Yes,Moderately Available,Good,Excellent,Extremely satisfied,Good,Good,5
7/13/2023 20:03:52,Communication and information,Neutral,Below Average,Poor,Good,Poor,Yes,3,5,No,Not Available,Poor,Average,Not satisfied,Average,Average,2
7/13/2023 20:04:05,Academics,Neutral,Average,Good,Average,Poor,Yes,3,1,No,Slightly Available,Poor,Average,Slightly satisfied,Average,Excellent,3
7/13/2023 20:04:29,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 20:05:00,Other,Likely,Average,Good,Below Average,Good,Yes,3,4,No,Moderately Available,Average,Good,Very satisfied,Good,Good,3
7/13/2023 20:05:49,Communication and information,Likely,Good,Average,Average,Average,Yes,2,2,No,Slightly Available,Average,Average,Moderately satisfied,Good,Good,2
7/13/2023 20:05:54,Student support services,Very likely,Good,Average,Good,Good,Yes,4,4,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 20:06:03,Academics,Neutral,Average,Average,Good,Poor,Yes,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 20:06:51,Student support services,Unlikely,Poor,Poor,Poor,Poor,No,2,2,No,Not Available,Average,Average,Slightly satisfied,Average,Average,2
7/13/2023 20:07:31,Other,Very unlikely,Average,Poor,Poor,Poor,No,1,3,No,Not Available,Good,Good,Not satisfied,Average,Below Average,5
7/13/2023 20:10:37,Campus facilities,Likely,Average,Average,Good,Average,Yes,5,3,No,Moderately Available,Good,Excellent,Moderately satisfied,Good,Good,3
7/13/2023 20:11:29,Other,Unlikely,Good,Good,Good,Good,No,5,2,No,Moderately Available,Good,Good,Slightly satisfied,Good,Poor,3
7/13/2023 20:14:33,Campus facilities,Neutral,Good,Average,Good,Average,Yes,3,3,No,Slightly Available,Below Average,Average,Slightly satisfied,Good,Good,3
7/13/2023 20:14:42,Campus facilities,Very likely,Excellent,Good,Below Average,Poor,No,3,3,No,Slightly Available,Below Average,Below Average,Not satisfied,Average,Good,1
7/13/2023 20:15:30,Academics,Likely,Good,Good,Good,Good,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 20:16:04,Campus facilities,Very unlikely,Poor,Poor,Average,Poor,Yes,1,1,No,Not Available,Poor,Below Average,Slightly satisfied,Below Average,Below Average,1
7/13/2023 20:18:30,Other,Neutral,Good,Good,Good,Good,Yes,5,5,No,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 20:19:16,Campus facilities,Neutral,Average,Average,Average,Average,Yes,3,1,Yes,Slightly Available,Average,Average,Not satisfied,Average,Average,3
7/13/2023 20:19:40,Campus facilities,Neutral,Good,Good,Poor,Below Average,Yes,5,4,No,Moderately Available,Good,Good,Very satisfied,Average,Average,4
7/13/2023 20:19:42,Campus facilities,Likely,Good,Good,Below Average,Poor,Yes,4,1,Yes,Moderately Available,Average,Good,Not satisfied,Average,Good,3
7/13/2023 20:20:13,Student support services,Neutral,Average,Good,Excellent,Good,Yes,4,4,No,Moderately Available,Average,Good,Moderately satisfied,Good,Good,2
7/13/2023 20:20:14,Academics,Likely,Average,Good,Excellent,Below Average,Yes,4,4,Yes,Moderately Available,Below Average,Average,Moderately satisfied,Good,Excellent,4
7/13/2023 20:20:27,Student support services,Neutral,Average,Below Average,Average,Average,No,3,2,No,Moderately Available,Below Average,Good,Moderately satisfied,Good,Good,4
7/13/2023 20:21:25,Student support services,Neutral,Good,Average,Good,Average,No,2,5,No,Moderately Available,Poor,Good,Slightly satisfied,Excellent,Excellent,5
7/13/2023 20:23:41,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,1
7/13/2023 20:24:11,Academics,Likely,Good,Good,Good,Good,Yes,5,4,No,Moderately Available,Good,Good,Very satisfied,Good,Excellent,2
7/13/2023 20:24:45,Campus facilities,Likely,Good,Excellent,Good,Good,No,2,1,No,Very Available,Average,Good,Very satisfied,Excellent,Good,4
7/13/2023 20:25:12,Campus facilities,Likely,Average,Average,Good,Good,Yes,3,3,No,Moderately Available,Good,Average,Slightly satisfied,Average,Good,3
7/13/2023 20:26:13,Student support services,Likely,Good,Good,Good,Good,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 20:26:17,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 20:33:23,Other,Likely,Good,Good,Excellent,Good,Yes,4,4,Yes,Very Available,Good,Excellent,Moderately satisfied,Good,Good,4
7/13/2023 20:34:25,Communication and information,Neutral,Good,Good,Good,Good,Yes,3,3,Yes,Very Available,Excellent,Good,Very satisfied,Good,Good,3
7/13/2023 20:34:55,Campus facilities,Likely,Average,Average,Below Average,Good,Yes,4,4,No,Moderately Available,Below Average,Average,Moderately satisfied,Good,Good,4
7/13/2023 20:35:58,Campus facilities,Likely,Good,Good,Average,Average,Yes,2,2,No,Moderately Available,Good,Good,Very satisfied,Excellent,Excellent,2
7/13/2023 20:36:48,Student support services,Likely,Good,Good,Good,Average,Yes,4,3,Yes,Moderately Available,Below Average,Good,Moderately satisfied,Average,Average,3
7/13/2023 20:36:56,Campus facilities,Neutral,Average,Below Average,Average,Below Average,Yes,3,3,No,Slightly Available,Below Average,Below Average,Moderately satisfied,Good,Good,3
7/13/2023 20:37:23,Student support services,Likely,Average,Average,Average,Good,Yes,3,1,Yes,Moderately Available,Good,Average,Very satisfied,Good,Average,2
7/13/2023 20:39:39,Other,Unlikely,Average,Average,Good,Poor,Yes,3,3,No,Slightly Available,Average,Below Average,Not satisfied,Poor,Average,4
7/13/2023 20:40:08,Academics,Very likely,Excellent,Good,Good,Excellent,No,5,3,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 20:40:17,Student support services,Neutral,Below Average,Below Average,Below Average,Poor,Yes,2,3,No,Not Available,Good,Below Average,Moderately satisfied,Good,Average,2
7/13/2023 20:43:09,Campus facilities,Likely,Average,Below Average,Average,Average,Yes,2,3,No,Moderately Available,Poor,Average,Moderately satisfied,Good,Good,3
7/13/2023 20:43:19,Campus facilities,Very likely,Excellent,Good,Excellent,Average,Yes,5,5,No,Slightly Available,Excellent,Average,Extremely satisfied,Excellent,Good,5
7/13/2023 20:44:23,Campus facilities,Very unlikely,Poor,Poor,Poor,Poor,No,1,1,Yes,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
7/13/2023 20:48:22,Other,Very likely,Excellent,Excellent,Good,Good,Yes,1,1,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Good,Excellent,1
7/13/2023 20:48:29,Other,Very likely,Excellent,Good,Good,Excellent,Yes,1,1,Yes,Moderately Available,Good,Excellent,Extremely satisfied,Good,Excellent,1
7/13/2023 20:51:36,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 20:52:12,Other,Neutral,Average,Below Average,Good,Average,Yes,4,3,No,Not Available,Below Average,Average,Slightly satisfied,Good,Good,4
7/13/2023 20:52:18,Communication and information,Neutral,Average,Excellent,Excellent,Good,Yes,5,3,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,4
7/13/2023 20:55:24,Student support services,Very unlikely,Poor,Poor,Below Average,Poor,Yes,3,1,No,Not Available,Poor,Poor,Not satisfied,Average,Below Average,1
7/13/2023 20:56:13,Other,Neutral,Average,Average,Poor,Average,No,5,5,Yes,Slightly Available,Below Average,Poor,Very satisfied,Excellent,Good,2
7/13/2023 21:05:02,Campus facilities,Neutral,Poor,Average,Poor,Poor,No,3,5,No,Not Available,Poor,Below Average,Slightly satisfied,Below Average,Average,1
7/13/2023 21:05:04,Other,Likely,Average,Below Average,Average,Average,No,3,3,No,Moderately Available,Good,Average,Slightly satisfied,Good,Good,3
7/13/2023 21:05:58,Academics,Neutral,Excellent,Excellent,Excellent,Good,Yes,5,2,Yes,Very Available,Good,Excellent,Very satisfied,Good,Good,2
7/13/2023 21:16:37,Campus facilities,Likely,Good,Average,Average,Excellent,Yes,2,1,No,Very Available,Good,Good,Very satisfied,Good,Good,2
7/13/2023 21:17:51,Communication and information,Neutral,Poor,Average,Poor,Below Average,Yes,3,3,No,Slightly Available,Poor,Average,Slightly satisfied,Average,Average,4
7/13/2023 21:19:29,Campus facilities,Unlikely,Below Average,Average,Below Average,Poor,No,3,4,No,Slightly Available,Poor,Good,Moderately satisfied,Poor,Good,4
7/13/2023 21:21:16,Academics,Likely,Excellent,Excellent,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Good,4
7/13/2023 21:22:23,Campus facilities,Unlikely,Below Average,Poor,Poor,Good,No,1,2,No,Not Available,Poor,Poor,Slightly satisfied,Poor,Below Average,1
7/13/2023 21:23:18,Campus facilities,Unlikely,Poor,Poor,Poor,Poor,No,1,1,No,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
7/13/2023 21:23:34,Academics,Likely,Good,Average,Average,Below Average,Yes,2,3,Yes,Very Available,Poor,Excellent,Very satisfied,Good,Good,3
7/13/2023 21:25:46,Student support services,Very likely,Excellent,Good,Excellent,Good,Yes,1,3,Yes,Not Available,Good,Good,Very satisfied,Good,Excellent,5
7/13/2023 21:30:31,Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 21:31:54,Campus facilities,Likely,Average,Below Average,Average,Poor,Yes,2,3,No,Moderately Available,Average,Average,Slightly satisfied,Average,Good,3
7/13/2023 21:43:44,Academics,Likely,Excellent,Good,Good,Good,Yes,5,4,No,Moderately Available,Average,Good,Moderately satisfied,Good,Good,5
7/13/2023 21:45:07,Other,Likely,Excellent,Excellent,Excellent,Average,Yes,3,1,Yes,Very Available,Good,Good,Very satisfied,Good,Good,2
7/13/2023 21:45:17,Other,Likely,Excellent,Excellent,Excellent,Average,Yes,3,1,Yes,Very Available,Good,Good,Very satisfied,Good,Good,2
7/13/2023 21:47:43,Other,Likely,Good,Good,Good,Good,Yes,2,2,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
7/13/2023 21:54:03,Campus facilities,Likely,Good,Good,Good,Good,Yes,3,3,Yes,Very Available,Good,Good,Moderately satisfied,Good,Good,3
7/13/2023 21:54:53,Campus facilities,Neutral,Average,Good,Average,Good,Yes,4,4,Yes,Moderately Available,Average,Good,Extremely satisfied,Good,Good,4
7/13/2023 21:57:09,Communication and information,Likely,Average,Good,Good,Good,Yes,4,5,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
7/13/2023 22:02:13,Communication and information,Neutral,Average,Average,Below Average,Poor,Yes,3,3,No,Not Available,Poor,Poor,Slightly satisfied,Below Average,Average,3
7/13/2023 22:05:23,Communication and information,Very likely,Good,Good,Excellent,Good,Yes,5,3,Yes,Very Available,Good,Good,Very satisfied,Good,Excellent,4
7/13/2023 22:08:25,Campus facilities,Neutral,Average,Below Average,Average,Below Average,Yes,3,2,No,Very Available,Below Average,Average,Moderately satisfied,Good,Average,3
7/13/2023 22:08:58,Campus facilities,Very unlikely,Poor,Average,Average,Average,No,2,2,No,Not Available,Poor,Average,Not satisfied,Average,Average,1
7/13/2023 22:09:01,Academics,Likely,Good,Excellent,Good,Average,No,1,1,Yes,Very Available,Good,Excellent,Very satisfied,Good,Good,1
7/13/2023 22:09:08,Student support services,Likely,Poor,Good,Average,Good,Yes,3,3,Yes,Slightly Available,Good,Average,Slightly satisfied,Good,Good,3
7/13/2023 22:09:27,Academics,Likely,Good,Average,Good,Good,Yes,4,3,Yes,Very Available,Excellent,Average,Moderately satisfied,Good,Excellent,5
7/13/2023 22:09:42,Campus facilities,Neutral,Poor,Below Average,Poor,Below Average,No,1,1,No,Not Available,Poor,Poor,Not satisfied,Below Average,Below Average,1
7/13/2023 22:10:02,Communication and information,Neutral,Below Average,Average,Good,Poor,No,1,5,Yes,Not Available,Good,Average,Slightly satisfied,Poor,Below Average,1
7/13/2023 22:10:14,Student support services,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,1
7/13/2023 22:10:28,Academics,Very likely,Below Average,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Good,Extremely satisfied,Excellent,Excellent,1
7/13/2023 22:10:30,Student support services,Very likely,Good,Poor,Good,Below Average,Yes,5,3,Yes,Not Available,Good,Good,Very satisfied,Poor,Good,5
7/13/2023 22:10:37,Other,Likely,Good,Good,Good,Good,Yes,4,4,No,Moderately Available,Good,Good,Very satisfied,Excellent,Good,4
7/13/2023 22:11:16,Academics,Very likely,Good,Excellent,Good,Excellent,Yes,1,1,Yes,Very Available,Good,Good,Very satisfied,Excellent,Excellent,1
7/13/2023 22:11:30,Academics,Likely,Average,Average,Good,Good,Yes,3,2,Yes,Slightly Available,Good,Good,Very satisfied,Below Average,Average,3
7/13/2023 22:13:03,Student support services,Likely,Average,Poor,Excellent,Excellent,No,3,3,Yes,Moderately Available,Below Average,Poor,Very satisfied,Below Average,Good,4
7/13/2023 22:13:23,Other,Neutral,Average,Good,Good,Good,No,3,3,Yes,Moderately Available,Average,Good,Very satisfied,Good,Good,4
7/13/2023 22:13:36,Campus facilities,Very likely,Good,Good,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Very satisfied,Excellent,Excellent,5
7/13/2023 22:14:44,Campus facilities,Likely,Average,Average,Average,Below Average,Yes,3,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
7/13/2023 22:15:23,Communication and information,Very likely,Average,Good,Poor,Excellent,Yes,5,5,Yes,Moderately Available,Average,Average,Very satisfied,Excellent,Good,3
7/13/2023 22:15:58,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,1
7/13/2023 22:16:52,Academics,Unlikely,Good,Poor,Below Average,Good,Yes,3,3,No,Moderately Available,Poor,Average,Moderately satisfied,Average,Average,1
7/13/2023 22:17:09,Academics,Very likely,Good,Good,Good,Excellent,Yes,2,1,Yes,Very Available,Good,Good,Very satisfied,Good,Excellent,5
7/13/2023 22:20:25,Student support services,Very likely,Excellent,Good,Excellent,Excellent,Yes,2,3,Yes,Moderately Available,Excellent,Excellent,Slightly satisfied,Excellent,Good,3
7/13/2023 22:23:40,Student support services,Likely,Good,Poor,Poor,Good,Yes,3,4,Yes,Slightly Available,Good,Poor,Very satisfied,Good,Good,3
7/13/2023 22:23:43,Academics,Very likely,Good,Good,Good,Excellent,Yes,2,2,Yes,Very Available,Excellent,Average,Extremely satisfied,Good,Excellent,5
7/13/2023 22:25:09,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Good,Excellent,5
7/13/2023 22:26:46,Campus facilities,Very unlikely,Poor,Poor,Poor,Poor,No,3,2,No,Slightly Available,Poor,Poor,Slightly satisfied,Below Average,Average,1
7/13/2023 22:27:41,Communication and information,Likely,Good,Average,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Excellent,5
7/13/2023 22:27:58,Academics,Likely,Average,Good,Excellent,Good,Yes,2,2,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,3
7/13/2023 22:28:16,Campus facilities,Very unlikely,Below Average,Poor,Below Average,Below Average,No,2,3,No,Not Available,Poor,Average,Not satisfied,Average,Average,1
7/13/2023 22:28:40,Student support services,Likely,Poor,Poor,Good,Good,No,2,2,Yes,Slightly Available,Poor,Good,Slightly satisfied,Good,Good,3
7/13/2023 22:30:01,Campus facilities,Neutral,Average,Average,Poor,Below Average,No,3,2,No,Slightly Available,Below Average,Good,Moderately satisfied,Good,Good,3
7/13/2023 22:30:01,Campus facilities,Likely,Good,Good,Good,Good,Yes,4,4,Yes,Very Available,Excellent,Good,Very satisfied,Good,Excellent,5
7/13/2023 22:30:43,Other,Likely,Good,Average,Average,Good,No,4,5,No,Very Available,Average,Good,Moderately satisfied,Good,Excellent,2
7/13/2023 22:30:57,Academics,Likely,Average,Poor,Below Average,Poor,No,1,1,Yes,Not Available,Good,Poor,Moderately satisfied,Poor,Poor,1
7/13/2023 22:31:05,Student support services,Likely,Good,Excellent,Average,Good,No,5,5,No,Very Available,Average,Good,Slightly satisfied,Excellent,Excellent,1
7/13/2023 22:33:22,Student support services,Likely,Excellent,Excellent,Average,Excellent,No,4,5,No,Very Available,Excellent,Good,Slightly satisfied,Excellent,Excellent,1
7/13/2023 22:35:24,Campus facilities,Neutral,Below Average,Average,Average,Average,Yes,4,4,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 22:35:30,Student support services,Neutral,Poor,Average,Poor,Good,No,2,3,Yes,Moderately Available,Excellent,Poor,Not satisfied,Good,Good,3
7/13/2023 22:36:21,Campus facilities,Neutral,Below Average,Good,Below Average,Below Average,No,4,3,No,Slightly Available,Below Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 22:36:48,Academics,Likely,Good,Average,Good,Average,No,4,3,No,Slightly Available,Good,Good,Slightly satisfied,Excellent,Excellent,5
7/13/2023 22:37:21,Academics,Likely,Average,Good,Good,Poor,Yes,4,2,Yes,Slightly Available,Average,Good,Moderately satisfied,Good,Good,3
7/13/2023 22:38:34,Student support services,Very unlikely,Excellent,Excellent,Good,Excellent,Yes,5,1,Yes,Very Available,Poor,Average,Very satisfied,Excellent,Excellent,5
7/13/2023 22:40:39,Campus facilities,Neutral,Average,Average,Poor,Excellent,No,2,3,No,Slightly Available,Poor,Below Average,Not satisfied,Good,Below Average,4
7/13/2023 22:41:53,Campus facilities,Unlikely,Below Average,Below Average,Excellent,Excellent,Yes,3,3,No,Not Available,Poor,Poor,Very satisfied,Average,Good,1
7/13/2023 22:42:49,Academics,Likely,Average,Good,Good,Poor,Yes,4,2,Yes,Slightly Available,Average,Good,Moderately satisfied,Good,Good,4
7/13/2023 22:44:53,Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,No,2,1,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,1
7/13/2023 22:45:20,Student support services,Likely,Good,Good,Good,Average,Yes,4,3,Yes,Slightly Available,Average,Good,Moderately satisfied,Good,Good,4
7/13/2023 22:45:31,Student support services,Likely,Excellent,Excellent,Excellent,Excellent,Yes,3,3,Yes,Moderately Available,Good,Below Average,Moderately satisfied,Good,Average,2
7/13/2023 22:46:29,Academics,Likely,Average,Good,Good,Poor,Yes,4,2,Yes,Slightly Available,Average,Good,Moderately satisfied,Good,Good,4
7/13/2023 22:47:06,Communication and information,Likely,Good,Excellent,Below Average,Average,No,3,2,No,Moderately Available,Good,Good,Extremely satisfied,Good,Good,5
7/13/2023 22:47:38,Campus facilities,Neutral,Average,Average,Average,Average,No,3,2,No,Moderately Available,Average,Good,Slightly satisfied,Good,Good,2
7/13/2023 22:48:37,Student support services,Likely,Good,Good,Average,Below Average,No,2,5,Yes,Not Available,Excellent,Below Average,Very satisfied,Good,Below Average,1
7/13/2023 22:48:49,Academics,Very likely,Average,Good,Good,Good,No,4,4,No,Very Available,Good,Good,Moderately satisfied,Excellent,Good,4
7/13/2023 22:49:11,Academics,Likely,Excellent,Good,Average,Good,Yes,1,5,Yes,Very Available,Poor,Good,Very satisfied,Good,Good,5
7/13/2023 22:54:13,Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 22:59:10,Student support services,Unlikely,Average,Average,Average,Average,No,2,3,No,Slightly Available,Average,Average,Slightly satisfied,Average,Average,3
7/13/2023 23:00:57,Campus facilities,Neutral,Poor,Poor,Poor,Poor,Yes,4,5,No,Slightly Available,Poor,Poor,Slightly satisfied,Average,Average,4
7/13/2023 23:04:49,Student support services,Neutral,Average,Good,Average,Average,No,3,3,Yes,Slightly Available,Good,Average,Very satisfied,Good,Good,3
7/13/2023 23:07:49,Academics,Likely,Good,Good,Average,Average,Yes,4,4,Yes,Moderately Available,Below Average,Excellent,Very satisfied,Good,Good,2
7/13/2023 23:08:49,Student support services,Very likely,Good,Average,Poor,Good,Yes,3,3,No,Very Available,Excellent,Average,Very satisfied,Good,Excellent,2
7/13/2023 23:09:25,Campus facilities,Likely,Good,Good,Below Average,Poor,No,4,5,No,Very Available,Poor,Below Average,Moderately satisfied,Excellent,Good,3
7/13/2023 23:10:49,Other,Unlikely,Poor,Poor,Average,Poor,Yes,1,2,No,Not Available,Poor,Poor,Not satisfied,Below Average,Poor,1
7/13/2023 23:12:35,Campus facilities,Neutral,Average,Average,Good,Average,Yes,3,3,Yes,Slightly Available,Poor,Average,Moderately satisfied,Good,Average,3
7/13/2023 23:20:11,Student support services,Neutral,Average,Average,Good,Excellent,No,3,2,Yes,Slightly Available,Good,Average,Very satisfied,Average,Good,3
7/13/2023 23:21:04,Campus facilities,Very likely,Good,Good,Excellent,Below Average,Yes,5,5,Yes,Very Available,Good,Average,Moderately satisfied,Excellent,Good,5
7/13/2023 23:26:14,Campus facilities,Likely,Good,Average,Poor,Average,No,3,3,Yes,Moderately Available,Good,Average,Very satisfied,Poor,Poor,2
7/13/2023 23:49:55,Academics,Likely,Good,Excellent,Good,Excellent,Yes,1,2,Yes,Very Available,Good,Excellent,Very satisfied,Good,Good,1
7/13/2023 23:50:03,Communication and information,Likely,Average,Average,Below Average,Below Average,Yes,3,4,Yes,Moderately Available,Good,Average,Moderately satisfied,Good,Below Average,3
7/13/2023 23:50:43,Academics,Likely,Good,Good,Excellent,Average,Yes,1,1,Yes,Very Available,Good,Good,Very satisfied,Excellent,Excellent,1
7/13/2023 23:59:58,Academics,Likely,Excellent,Good,Excellent,Good,No,5,5,Yes,Very Available,Good,Good,Extremely satisfied,Excellent,Good,5
7/14/2023 0:05:01,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,No,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/14/2023 0:09:21,Communication and information,Likely,Average,Excellent,Average,Good,No,4,5,No,Moderately Available,Good,Good,Very satisfied,Good,Good,4
7/14/2023 0:10:20,Student support services,Very unlikely,Poor,Poor,Average,Poor,No,1,1,No,Not Available,Poor,Average,Not satisfied,Poor,Poor,5
7/14/2023 0:12:27,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,No,5,1,No,Very Available,Excellent,Poor,Extremely satisfied,Excellent,Excellent,3
7/14/2023 1:24:37,Other,Very likely,Good,Excellent,Excellent,Good,Yes,5,5,Yes,Moderately Available,Good,Excellent,Very satisfied,Good,Excellent,5
7/14/2023 1:48:59,Student support services,Likely,Good,Good,Good,Good,No,5,5,Yes,Very Available,Average,Good,Moderately satisfied,Good,Good,5
7/14/2023 2:08:00,Academics,Likely,Average,Good,Good,Excellent,No,3,3,No,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
7/14/2023 3:18:20,Campus facilities,Unlikely,Below Average,Good,Average,Good,Yes,1,3,No,Slightly Available,Excellent,Average,Moderately satisfied,Average,Average,3
7/14/2023 4:29:20,Student support services,Neutral,Below Average,Good,Good,Good,Yes,3,3,No,Slightly Available,Average,Average,Slightly satisfied,Good,Good,4
7/14/2023 5:20:32,Other,Very unlikely,Poor,Poor,Poor,Poor,No,5,5,No,Not Available,Poor,Poor,Not satisfied,Poor,Poor,5
7/14/2023 5:22:35,Other,Likely,Good,Excellent,Good,Excellent,Yes,3,5,No,Very Available,Good,Excellent,Moderately satisfied,Good,Excellent,4
7/14/2023 5:31:07,Campus facilities,Very likely,Good,Good,Below Average,Excellent,Yes,5,4,Yes,Slightly Available,Poor,Good,Slightly satisfied,Good,Excellent,5
7/14/2023 5:31:27,Other,Likely,Good,Excellent,Average,Excellent,Yes,4,4,No,Very Available,Good,Good,Very satisfied,Good,Excellent,4
7/14/2023 5:34:16,Campus facilities,Likely,Average,Average,Good,Average,No,3,3,Yes,Slightly Available,Good,Good,Moderately satisfied,Average,Average,4
7/14/2023 5:53:46,Academics,Likely,Excellent,Good,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Very satisfied,Excellent,Good,5
7/14/2023 6:12:07,Academics,Likely,Good,Average,Good,Good,No,1,2,No,Moderately Available,Good,Excellent,Moderately satisfied,Good,Excellent,2
7/14/2023 6:18:14,Student support services,Likely,Good,Average,Excellent,Good,Yes,5,3,Yes,Slightly Available,Excellent,Good,Very satisfied,Good,Good,4
7/14/2023 6:27:45,Other,Likely,Good,Good,Excellent,Excellent,Yes,5,5,No,Very Available,Poor,Good,Extremely satisfied,Excellent,Excellent,4
7/14/2023 6:32:59,Academics,Neutral,Good,Average,Excellent,Good,No,1,4,Yes,Moderately Available,Excellent,Good,Very satisfied,Good,Good,2
7/14/2023 6:34:25,Campus facilities,Neutral,Average,Good,Below Average,Below Average,No,3,2,Yes,Moderately Available,Below Average,Below Average,Slightly satisfied,Average,Average,3
7/14/2023 6:35:15,Student support services,Neutral,Good,Good,Good,Good,No,1,1,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,1
